# lams weight z
3.200000000000000000e+01 8.558467588888630271e+06 1.260000000000000009e+00
3.000000000000000000e+01 1.651695100200404180e+06 1.209999999999999964e+00
2.800000000000000000e+01 2.065639571557716466e+06 1.090000000000000080e+00
3.500000000000000000e+01 4.124757716617269441e+06 1.020000000000000018e+00
2.800000000000000000e+01 5.198158624880113639e+06 9.100000000000000311e-01
2.600000000000000000e+01 2.938558210779085755e+06 1.100000000000000089e+00
2.100000000000000000e+01 2.147824470710979775e+06 9.899999999999999911e-01
2.600000000000000000e+01 3.521839127637696452e+06 1.080000000000000071e+00
2.100000000000000000e+01 1.750604309426912107e+06 1.320000000000000062e+00
2.900000000000000000e+01 3.916880963185860310e+06 1.229999999999999982e+00
3.000000000000000000e+01 1.689660994684220525e+06 9.100000000000000311e-01
2.100000000000000000e+01 1.990256655722145224e+06 1.129999999999999893e+00
3.100000000000000000e+01 1.935202216785792029e+06 9.799999999999999822e-01
2.100000000000000000e+01 1.968319694769828115e+06 8.800000000000000044e-01
3.600000000000000000e+01 2.315939512342244387e+06 1.239999999999999991e+00
3.500000000000000000e+01 1.623707257376855472e+06 1.189999999999999947e+00
3.700000000000000000e+01 8.584812897415580228e+06 1.020000000000000018e+00
2.300000000000000000e+01 4.115210237993222196e+06 9.799999999999999822e-01
2.600000000000000000e+01 6.352776705734620802e+06 1.020000000000000018e+00
2.600000000000000000e+01 2.174981936676546931e+06 1.100000000000000089e+00
2.500000000000000000e+01 2.360849278650597669e+06 8.800000000000000044e-01
3.000000000000000000e+01 1.192871484459253401e+07 9.899999999999999911e-01
3.000000000000000000e+01 9.307576093746842816e+06 1.080000000000000071e+00
3.100000000000000000e+01 2.193130676033156458e+06 1.120000000000000107e+00
3.300000000000000000e+01 1.531931054724902147e+06 9.699999999999999734e-01
2.400000000000000000e+01 2.603482275208796374e+06 9.100000000000000311e-01
2.300000000000000000e+01 1.958987756934465375e+06 1.010000000000000009e+00
3.900000000000000000e+01 2.101928953373449389e+06 1.159999999999999920e+00
4.000000000000000000e+01 9.622710189433898777e+06 1.020000000000000018e+00
2.400000000000000000e+01 2.437687628385803197e+06 1.100000000000000089e+00
2.100000000000000000e+01 1.578800266880224226e+06 1.129999999999999893e+00
2.700000000000000000e+01 2.361439592513069045e+06 1.750000000000000000e+00
2.900000000000000000e+01 1.501605936652973294e+06 9.300000000000000488e-01
3.700000000000000000e+01 1.694619386420453899e+06 1.060000000000000053e+00
2.500000000000000000e+01 2.411203942943586037e+06 9.599999999999999645e-01
4.100000000000000000e+01 1.039913049695174582e+07 9.899999999999999911e-01
