# lams weight z
2.900000000000000000e+01 2.167507649239392020e+06 1.239999999999999991e+00
2.400000000000000000e+01 3.370198322625526693e+06 9.699999999999999734e-01
2.300000000000000000e+01 2.282354585548745468e+06 9.799999999999999822e-01
2.400000000000000000e+01 9.997103309598753229e+06 7.600000000000000089e-01
3.500000000000000000e+01 3.227189038806797471e+06 1.010000000000000009e+00
2.300000000000000000e+01 1.619692735575200757e+06 1.050000000000000044e+00
3.200000000000000000e+01 9.810350042512014508e+06 1.260000000000000009e+00
3.000000000000000000e+01 1.748191670085688354e+06 1.209999999999999964e+00
2.800000000000000000e+01 2.208600255523861386e+06 1.090000000000000080e+00
3.500000000000000000e+01 4.567439006864584051e+06 1.020000000000000018e+00
2.800000000000000000e+01 5.824684811758847907e+06 9.100000000000000311e-01
2.600000000000000000e+01 3.199383568744233344e+06 1.100000000000000089e+00
2.100000000000000000e+01 2.305557407046672888e+06 9.899999999999999911e-01
2.600000000000000000e+01 3.871151309320881031e+06 1.080000000000000071e+00
2.100000000000000000e+01 1.855610709935969906e+06 1.320000000000000062e+00
2.900000000000000000e+01 4.331936955104837194e+06 1.229999999999999982e+00
3.000000000000000000e+01 1.790761364006624324e+06 9.100000000000000311e-01
2.100000000000000000e+01 2.122368338987548836e+06 1.129999999999999893e+00
3.100000000000000000e+01 2.060626935706612887e+06 9.799999999999999822e-01
2.100000000000000000e+01 2.102822588409909513e+06 8.800000000000000044e-01
3.600000000000000000e+01 2.500248042823478114e+06 1.239999999999999991e+00
3.500000000000000000e+01 1.717379374250293477e+06 1.189999999999999947e+00
3.700000000000000000e+01 9.814771702419809997e+06 1.020000000000000018e+00
2.300000000000000000e+01 4.569251977623183280e+06 9.799999999999999822e-01
2.600000000000000000e+01 7.183329461402204819e+06 1.020000000000000018e+00
2.600000000000000000e+01 2.335394646389560308e+06 1.100000000000000089e+00
2.500000000000000000e+01 2.548231717423741240e+06 8.800000000000000044e-01
3.000000000000000000e+01 1.367778295528241433e+07 9.899999999999999911e-01
3.000000000000000000e+01 1.062483005659872666e+07 1.080000000000000071e+00
3.100000000000000000e+01 2.350892918627879117e+06 1.120000000000000107e+00
